no	effector	l1	l2	p.value
"1"	"avrA"	-54.343394	-51.621437	5.443914	0.24470364942387
"2"	"avrB"	-91.525608	-87.151755	8.747706	0.0677244613787044
"3"	"avrD1"	-82.054192	-78.005557	8.09727	0.0880793566914361
"4"	"avrE1"	-56.804156	-56.394297	0.819718	0.935785214420439
"5"	"avrPto"	-86.887975	-81.713068	10.349814	0.0349298617415799
"6"	"avrRpm"	-80.74256	-78.980177	3.524766	0.474122625577922
"7"	"avrRps4"	-76.409386	-73.466791	5.88519	0.207887987899264
"8"	"avrRpt2"	-50.977588	-50.373908	1.20736	0.876885361584357
"9"	"hopA1"	-91.697977	-90.265389	2.865176	0.580635382022325
"10"	"hopAA"	-76.032166	-74.087887	3.888558	0.421297925269121
"11"	"hopAB"	-86.238309	-78.608867	15.258884	0.00419332142937294
"12"	"hopAD"	-39.664812	-39.432305	0.465014	0.976816276180284
"13"	"hopAE"	-79.711518	-76.378038	6.66696	0.154569864781051
"14"	"hopAF"	-100.815911	-101.36872	-1.105618	1
"15"	"hopAG"	-66.818747	-64.653935	4.329624	0.363230250881246
"16"	"hopAH"	-55.769689	-53.941445	3.656488	0.454486087846848
"17"	"hopAI"	-60.369009	-58.108156	4.521706	0.339981463353827
"18"	"hopAL"	-53.692517	-51.559951	4.265132	0.371311657071702
"19"	"hopAM"	-52.902758	-51.809237	2.187042	0.701402299719927
"20"	"hopAO"	-69.468744	-66.742395	5.452698	0.24391875850525
"21"	"hopAQ"	-39.664812	-39.439924	0.449776	0.97820248670719
"22"	"hopAR"	-72.990154	-66.985392	12.009524	0.0172805826756364
"23"	"hopAS"	-56.806437	-54.924792	3.76329	0.438987786113856
"24"	"hopAT"	-77.775445	-75.738099	4.074692	0.395991753592013
"25"	"hopAU"	-50.37295	-49.558142	1.629616	0.803459641852814
"26"	"hopAV"	-67.008293	-64.478219	5.060148	0.281181428181142
"27"	"hopAW"	-57.535763	-55.971539	3.128448	0.53656471419805
"28"	"hopAX"	-48.062667	-46.180653	3.764028	0.438882021966976
"29"	"hopAY"	-99.399526	-96.500688	5.797676	0.214776046059918
"30"	"hopAZ"	-97.305653	-96.394616	1.822074	0.768441398472463
"31"	"hopBA"	-56.758852	-55.319621	2.878462	0.578366126321334
"32"	"hopBB"	-76.42517	-71.533148	9.784044	0.0442268694924495
"33"	"hopBC"	-55.903204	-54.450109	2.90619	0.5736450192203
"34"	"hopBD"	-75.964314	-72.728721	6.471186	0.166614976541004
"35"	"hopBE"	-48.576982	-46.042012	5.06994	0.280196205509326
"36"	"hopBF"	-84.05626	-69.062027	29.988466	4.92097055207122e-06
"37"	"hopBG"	-39.624522	-39.178349	0.892346	0.925656333795179
"38"	"hopBH"	-43.955988	-43.32595	1.260076	0.868111885251256
"39"	"hopBI"	-55.395777	-54.055793	2.679968	0.612724478460493
"40"	"hopBJ"	-35.017055	-34.898294	0.237522	0.993482156851641
"41"	"hopBK"	-49.271546	-48.63336	1.276372	0.865371427810084
"42"	"hopBL"	-56.57954	-54.571237	4.016606	0.403763136963988
"43"	"hopB"	-58.450129	-57.280822	2.338614	0.673747923820996
"44"	"hopC"	-57.268023	-55.12141	4.293226	0.367774108920862
"45"	"hopD"	-72.281583	-69.55376	5.455646	0.243655829846273
"46"	"hopE"	-63.300446	-62.992249	0.616394	0.961224634367231
"47"	"hopF"	-78.609322	-74.585763	8.047118	0.0898673707983755
"48"	"hopG"	-67.677583	-65.614486	4.126194	0.38919666235909
"49"	"hopH"	-90.624016	-83.100074	15.047884	0.00460292600296487
"50"	"hopI"	-46.891243	-45.932967	1.916552	0.751103736452363
"51"	"hopK"	-39.664812	-39.433673	0.462278	0.977067790612867
"52"	"hopM"	-74.737348	-71.215505	7.043686	0.133597551399211
"53"	"hopN"	-51.850712	-51.206228	1.288968	0.863244475140544
"54"	"hopO"	-65.655995	-64.074385	3.16322	0.530891948807211
"55"	"hopQ"	-71.010277	-68.310324	5.399906	0.24866892564283
"56"	"hopR"	-71.972372	-69.062961	5.818822	0.213093492694789
"57"	"hopS"	-42.011965	-41.854944	0.314042	0.988889777933909
"58"	"hopT"	-62.52055	-60.387115	4.26687	0.371092042886952
"59"	"hopU"	-41.658934	-41.013958	1.289952	0.863078003487854
"60"	"hopV"	-58.191609	-54.760194	6.86283	0.143317037992238
"61"	"hopW"	-71.067845	-68.648565	4.83856	0.304266901468531
"62"	"hopX"	-105.17302	-104.577066	1.191908	0.879429107559872
"63"	"hopY"	-37.619731	-37.642469	-0.045476	1
"64"	"hopZ"	-96.858463	-93.726312	6.264302	0.180260382239935
"65"	"avrA"	-54.343394	-51.529307	5.628174	0.228690508133586
"66"	"avrB"	-91.525608	-87.150119	8.750978	0.0676343388752157
"67"	"avrD1"	-82.054192	-78.005558	8.097268	0.088079427324647
"68"	"avrE1"	-56.804156	-56.394297	0.819718	0.935785214420439
"69"	"avrPto"	-86.887975	-81.617863	10.540224	0.0322474024659452
"70"	"avrRpm"	-80.74256	-78.979357	3.526406	0.473874630023692
"71"	"avrRps4"	-76.409386	-73.466794	5.885184	0.207888453377529
"72"	"avrRpt2"	-50.977588	-50.365672	1.223832	0.874159464371921
"73"	"hopA1"	-91.697977	-90.265386	2.865182	0.580634356187818
"74"	"hopAA"	-76.032166	-74.087887	3.888558	0.421297925269121
"75"	"hopAB"	-86.238309	-78.566509	15.3436	0.00403913944525336
"76"	"hopAD"	-39.664812	-39.437162	0.4553	0.977704084139054
"77"	"hopAE"	-79.711518	-76.37768	6.667676	0.154527303519424
"78"	"hopAF"	-100.815912	-101.201216	-0.770608	1
"79"	"hopAG"	-66.818747	-64.571041	4.495412	0.343091844636981
"80"	"hopAH"	-55.769689	-53.961318	3.616742	0.460350832862088
"81"	"hopAI"	-60.369009	-58.120299	4.49742	0.342853510706549
"82"	"hopAL"	-53.692517	-50.981172	5.42269	0.246609132473485
"83"	"hopAM"	-52.902758	-51.805253	2.19501	0.6999429432852
"84"	"hopAO"	-69.468744	-66.503468	5.930552	0.204395070421238
"85"	"hopAQ"	-39.664812	-39.433035	0.463554	0.97695063262983
"86"	"hopAR"	-72.990154	-66.985392	12.009524	0.0172805826756364
"87"	"hopAS"	-56.806437	-54.876553	3.859768	0.42531671824389
"88"	"hopAT"	-77.775445	-75.753236	4.044418	0.400027902105241
"89"	"hopAU"	-50.368425	-49.551814	1.633222	0.802809103318465
"90"	"hopAV"	-67.008293	-64.478985	5.058616	0.281335834619473
"91"	"hopAW"	-57.535763	-55.949803	3.17192	0.529478251904813
"92"	"hopAX"	-48.062667	-47.240854	1.643626	0.800930709301513
"93"	"hopAY"	-99.399526	-96.501122	5.796808	0.214845360873474
"94"	"hopAZ"	-97.305653	-96.305617	2.000072	0.735745638683005
"95"	"hopBA"	-56.758852	-55.319125	2.879454	0.578196876109178
"96"	"hopBB"	-76.42517	-71.526933	9.796474	0.0439992140685719
"97"	"hopBC"	-55.903204	-54.449836	2.906736	0.573552257877212
"98"	"hopBD"	-75.964314	-72.69656	6.535508	0.162566796472064
"99"	"hopBE"	-48.565801	-46.048839	5.033924	0.283834359766757
"100"	"hopBF"	-84.05626	-69.147401	29.817718	5.33094052769407e-06
"101"	"hopBG"	-39.624522	-39.188968	0.871108	0.928668756853273
"102"	"hopBH"	-43.955988	-43.32752	1.256936	0.86863844025529
"103"	"hopBI"	-55.395777	-54.062732	2.66609	0.615161331043721
"104"	"hopBJ"	-34.972208	-34.994427	-0.044438	1
"105"	"hopBK"	-49.271546	-48.629987	1.283118	0.864233233910795
"106"	"hopBL"	-56.57954	-54.651133	3.856814	0.425730649510745
"107"	"hopB"	-58.450129	-57.275867	2.348524	0.67194908789979
"108"	"hopC"	-57.268023	-55.118787	4.298472	0.36711647296039
"109"	"hopD"	-72.281583	-69.556533	5.4501	0.244150674595853
"110"	"hopE"	-63.300446	-62.992236	0.61642	0.961221690421233
"111"	"hopF"	-78.609322	-74.585759	8.047126	0.0898670828860606
"112"	"hopG"	-67.677583	-65.611113	4.13294	0.38831324325176
"113"	"hopH"	-90.624016	-83.100074	15.047884	0.00460292600296487
"114"	"hopI"	-46.891243	-46.269126	1.244234	0.870763458413136
"115"	"hopK"	-39.664812	-39.436581	0.456462	0.977598644410271
"116"	"hopM"	-74.737348	-71.215505	7.043686	0.133597551399211
"117"	"hopN"	-51.850712	-51.206199	1.289026	0.863234664039091
"118"	"hopO"	-65.655995	-64.074385	3.16322	0.530891948807211
"119"	"hopQ"	-71.010277	-68.358671	5.303212	0.257576393477769
"120"	"hopR"	-71.972372	-69.150962	5.64282	0.227457803813255
"121"	"hopS"	-42.011965	-41.854065	0.3158	0.988771534751087
"122"	"hopT"	-62.52055	-60.385854	4.269392	0.37077354250123
"123"	"hopU"	-41.658934	-41.036988	1.243892	0.870820562032973
"124"	"hopV"	-58.191609	-54.776493	6.830232	0.145136312461599
"125"	"hopW"	-71.067845	-68.732745	4.6702	0.322840354624279
"126"	"hopX"	-105.17302	-104.577066	1.191908	0.879429107559872
"127"	"hopY"	-37.636695	-37.574352	0.124686	0.998135586374639
"128"	"hopZ"	-96.858463	-93.728967	6.258992	0.180623480181284
"129"	"avrA"	-54.343394	-51.499571	5.687646	0.223720996292485
"130"	"avrB"	-91.525608	-87.196956	8.657304	0.0702599248406719
"131"	"avrD1"	-82.054192	-78.005557	8.09727	0.0880793566914361
"132"	"avrE1"	-56.804156	-56.394297	0.819718	0.935785214420439
"133"	"avrPto"	-86.887975	-81.677172	10.421606	0.0338941513901017
"134"	"avrRpm"	-80.74256	-78.97942	3.52628	0.473893680219924
"135"	"avrRps4"	-76.409386	-73.466791	5.88519	0.207887987899264
"136"	"avrRpt2"	-50.977588	-50.369525	1.216126	0.875436507846796
"137"	"hopA1"	-91.697977	-90.265386	2.865182	0.580634356187818
"138"	"hopAA"	-76.032166	-74.087889	3.888554	0.421298481684533
"139"	"hopAB"	-86.238309	-78.586071	15.304476	0.0041096394302161
"140"	"hopAD"	-39.664812	-39.436372	0.45688	0.977560664418168
"141"	"hopAE"	-79.711518	-76.377866	6.667304	0.154549415022427
"142"	"hopAF"	-100.815911	-101.59566	-1.559498	1
"143"	"hopAG"	-66.818747	-64.590259	4.456976	0.34767954059511
